""	peer1	peer2	peer3	peer4	peer5	peer6	peer7	peer8	peer9	peer10	peer11	peer12	peer13	peer14	peer15	peer16	peer17	peer18	peer19	peer20
bc155e29.2c22.4a36.9828.7f0b047a05d7	1	-0.0147048411890864	-0.0301630310714245	0.000593566917814314	-0.0032032213639468	-0.00454823486506939	-0.00496009271591902	-0.563103795051575	0.492153704166412	1.08528089523315	-1.08552658557892	-0.407608449459076	-0.660654723644257	0.0881370455026627	1.97705173492432	0.948918223381042	-0.2463668435812	0.258223205804825	0.577007114887238	1.26307785511017
f056f7a0.c1d4.4866.b178.3023b495cdfd	1	-0.0151430070400238	0.0288293324410915	-0.0024746956769377	0.00480764824897051	-0.00182597059756517	0.0091506764292717	0.607629597187042	0.447791755199432	-0.879063248634338	-0.969473719596863	-0.0291047096252441	-0.00544951902702451	-0.699302554130554	0.120035760104656	0.105495102703571	-0.178247913718224	0.646034002304077	-0.633403778076172	0.0525258369743824
X835f75b7.173d.425c.ac57.b11fa22d78d4	1	-0.0161081459373236	0.0359037183225155	0.000108901636849623	-0.00329805072396994	-0.0016862831544131	0.00258056772872806	-0.0358808264136314	-0.473275363445282	-0.514650702476502	0.708965122699738	-0.669286012649536	-0.383936762809753	-0.396781742572784	0.450505971908569	0.552323937416077	0.373829364776611	0.105754993855953	-0.533539414405823	0.33204859495163
fa545fa1.0d47.4abf.a9d7.7a834ced8946	1	-0.0142216868698597	0.0306801218539476	0.000614352873526514	0.00292332097887993	-0.00234592380002141	0.0148369437083602	0.30986350774765	-0.00371791888028383	0.337752044200897	-0.293242484331131	0.808624088764191	-0.808242201805115	-0.977019906044006	1.42570888996124	0.119945399463177	0.449673891067505	0.968454658985138	-0.763554573059082	0.291579574346542
ae831e46.4805.4576.af8e.36f7ea2da14e	1	-0.0162217766046524	0.0494476519525051	-0.00013605687126983	0.00537104066461325	-0.00202260399237275	0.00293255224823952	0.714060962200165	-1.20802879333496	-0.0969090238213539	0.620625674724579	0.44328573346138	0.224989295005798	-0.875740647315979	0.716544508934021	0.186679780483246	0.0875316336750984	0.920661330223083	0.0126117188483477	0.0924837067723274
X24dcb00d.ab59.4dad.b57c.8aeee6ab06e5	1	-0.0128825716674328	0.0248346142470837	-0.00155101146083325	0.00278445333242416	-0.00294312136247754	-0.00450259214267135	0.150021329522133	-0.0714884772896767	-0.488407790660858	0.453070759773254	-0.100552760064602	0.475012481212616	-0.936458468437195	-0.387997061014175	0.324250370264053	0.50618851184845	0.210674539208412	-1.00140202045441	0.272321313619614
d1800c87.078e.469b.b9bb.1eda4b594e5a	1	-0.0222182683646679	-0.28329661488533	-0.000348483503330499	-0.00212886999361217	-0.00332415197044611	0.0334354303777218	2.79790568351746	-0.648493945598602	1.83436822891235	-0.362700581550598	1.96859622001648	-0.346970707178116	1.1306779384613	1.00703692436218	1.36379241943359	-0.750243008136749	-2.50009322166443	-2.62130880355835	-0.181640297174454
X7e5f62f6.bcec.4a3a.a25f.88178fcde345	1	-0.00642306683585048	-0.00442419527098537	-0.0019569129217416	0.000672433990985155	-0.00413580099120736	-0.00238343421369791	0.0348085053265095	-0.585247755050659	0.334764808416367	0.770547211170197	0.185334965586662	-1.37665796279907	0.983541488647461	-0.0346062444150448	-1.15432858467102	-0.516889452934265	0.193931549787521	0.284720927476883	0.456417143344879
X75c2a9ba.864b.4bc9.bae6.0faf04bc82ca	1	-0.017898216843605	0.0721210092306137	0.00315392855554819	0.000532448233570904	-0.00041084477561526	0.00574061553925276	0.610979914665222	0.221607014536858	0.2568539083004	-0.534263432025909	-0.154633462429047	-0.187519818544388	0.119297347962856	-0.68149596452713	0.219798550009727	0.359885215759277	0.136347636580467	-0.0569991804659367	0.749337375164032
X93b0e7dd.b869.44bd.9ea5.b933cacf5ffe	1	-0.0168668776750565	0.0618133395910263	-0.000306920788716525	0.000251624645898119	-0.00467094453051686	-0.00242762616835535	-1.10972654819489	-1.06176543235779	0.130464375019073	0.260930269956589	-1.59884285926819	1.65338480472565	1.26509499549866	1.18692028522491	-0.109823375940323	-0.0619161725044251	-0.955435216426849	-0.603798031806946	2.0879545211792
X36b5022c.8096.43e3.ab40.428a54b23ca0	1	-0.0191726572811604	0.100279204547405	0.00361048057675362	0.0033012586645782	-0.00142841145861894	0.0091866347938776	0.0273307077586651	-0.496225386857987	0.436281740665436	-0.903572082519531	-0.378844201564789	-0.0115970261394978	0.238622143864632	0.944794654846191	-0.819545805454254	0.659686982631683	0.276214748620987	0.358038306236267	-0.64902275800705
